MR,Adj_Pval,Adj.Pval
ZNF91,3.69120615430424e-34,3.69120615430424e-34
ZNF214,8.3299666041383e-07,8.3299666041383e-07
ZNF852,1.08798995891484e-18,1.08798995891484e-18
PDPK1,7.53358564410645e-21,7.53358564410645e-21
L3MBTL1,8.02333963853908e-29,8.02333963853908e-29
ZNF169,2.07720632122216e-25,2.07720632122216e-25
PRKCZ,3.35297344918055e-35,3.35297344918055e-35
KLF15,2.9604210619535e-18,2.9604210619535e-18
HLF,2.76898133798413e-17,2.76898133798413e-17
EMX2,1.98415332648457e-13,1.98415332648457e-13
RNF141,2.6656853258007e-28,2.6656853258007e-28
ALKBH4,2.0120005654107e-06,2.0120005654107e-06
SAP18,4.11036241386734e-07,4.11036241386734e-07
APBB1,1.6286150097753e-22,1.6286150097753e-22
PINK1,1.26876074671732e-18,1.26876074671732e-18
SOX6,1.61712844475646e-09,1.61712844475646e-09
LHX6,1.11337335510644e-06,1.11337335510644e-06
MAPRE3,3.58112826910196e-11,3.58112826910196e-11
PLSCR1,1.7766951805347e-37,1.7766951805347e-37
TRIP13,0.00135282714792755,0.00135282714792755
BCL2L12,1.92229711150875e-10,1.92229711150875e-10
CAVIN1,5.78793535907864e-23,5.78793535907864e-23
KANK2,2.46527245747943e-07,2.46527245747943e-07
CAV1,7.45386239026953e-20,7.45386239026953e-20
TEAD2,0.000242563945669362,0.000242563945669362
PRKCH,1.39515126933686e-13,1.39515126933686e-13
MSC,9.68785849557501e-12,9.68785849557501e-12
SMO,2.35757782316622e-08,2.35757782316622e-08
DCN,1.20680425638735e-13,1.20680425638735e-13
NOTCH4,0.0356904260740047,0.0356904260740047
VGLL3,1.55796637291686e-09,1.55796637291686e-09
ZNF619,1.95060697347103e-16,1.95060697347103e-16
EFCAB6,2.72484182935665e-05,2.72484182935665e-05
ZBTB47,4.72428916592353e-13,4.72428916592353e-13
CRY2,9.40376093126022e-27,9.40376093126022e-27
PCBP3,1.25086191214391e-14,1.25086191214391e-14
ZNF423,4.85345469242188e-20,4.85345469242188e-20
EDNRB,1.07776578369266e-06,1.07776578369266e-06
BMP6,1.2201105361839e-08,1.2201105361839e-08
KAT5,6.35819662041635e-15,6.35819662041635e-15
UBE2V1,2.15045774082522e-14,2.15045774082522e-14
HIRA,7.45762941223468e-12,7.45762941223468e-12
ZNF408,1.44964862890204e-10,1.44964862890204e-10
NUFIP1,6.3161010690972e-19,6.3161010690972e-19
BTRC,5.68123601795649e-29,5.68123601795649e-29
SETD5,2.85561675829626e-07,2.85561675829626e-07
ESRRG,4.26076724742221e-08,4.26076724742221e-08
SIRT5,3.84284936200138e-15,3.84284936200138e-15
ZNF19,4.28292523023734e-15,4.28292523023734e-15
NFKBIL1,9.2144305908734e-23,9.2144305908734e-23
FBXL15,2.08326395127088e-21,2.08326395127088e-21
HDAC11,1.44201830264145e-31,1.44201830264145e-31
