Source Target Weight
IFI16 MLKL 1
IFI16 PLEKHA2 1
IFI16 FAM86JP 1
IFI16 KSR2 1
IFI16 ZNF554 1
IFI16 SLFN11 1
IFI16 NABP1 1
IFI16 PLK3 1
IFI16 ARL13A 1
IFI16 MBLAC2 1
IFI16 ZSCAN2 1
IFI16 AQP11 1
IFI16 RRH 1
IFI16 OR52N2 1
IFI16 YIPF6 1
IFI16 C1S 1
IFI16 PGBD4 1
IFI16 CEP97 1
IFI16 MX2 1
IFI16 LRTOMT 1
IFI16 TMEM173 1
IFI16 NUTM2A 1
IFI16 ANKS1B 1
IFI16 TCN2 1
IFI16 SPATA8 1
IFI16 KCNIP4 1
